elapsed_ms,power_percent,heater_on,temperature_c,status
0,0,0,121.0,RUN
10200,0,0,121.1,RUN
20400,0,0,121.4,RUN
30600,0,0,121.5,RUN
40800,0,0,121.6,RUN
51000,0,0,121.7,RUN
61200,0,0,121.8,RUN
71400,0,0,121.8,RUN
81600,0,0,121.8,RUN
91800,0,0,121.5,RUN
102000,0,0,121.5,RUN
112200,0,0,121.4,RUN
122400,0,0,121.4,RUN
132600,0,0,121.5,RUN
142800,0,0,121.7,RUN
153000,0,0,121.7,RUN
163200,0,0,121.6,RUN
173400,0,0,121.6,RUN
183600,0,0,121.5,RUN
193800,0,0,121.4,RUN
204000,0,0,121.4,RUN
214200,0,0,121.4,RUN
224400,0,0,121.3,RUN
234600,0,0,121.1,RUN
244800,0,0,120.7,RUN
255000,0,0,120.6,RUN
265200,0,0,120.4,RUN
275400,0,0,120.4,RUN
285600,0,0,120.3,RUN
295800,0,0,120.1,RUN
306000,0,0,119.9,RUN
316200,0,0,119.7,RUN
326400,0,0,119.7,RUN
336600,0,0,119.5,RUN
346800,0,0,119.5,RUN
357000,0,0,119.3,RUN
367200,0,0,119.1,RUN
377400,0,0,118.9,RUN
387600,0,0,118.8,RUN
397800,0,0,118.6,RUN
408000,0,0,118.5,RUN
418200,0,0,118.4,RUN
428400,0,0,118.3,RUN
438600,0,0,118.3,RUN
448800,0,0,118.3,RUN
459000,0,0,118.0,RUN
469200,0,0,117.9,RUN
479400,0,0,117.6,RUN
489600,0,0,117.6,RUN
499800,0,0,117.5,RUN
510000,0,0,117.3,RUN
520200,0,0,117.1,RUN
530400,0,0,116.9,RUN
540600,0,0,116.8,RUN
550800,0,0,116.7,RUN
561000,0,0,116.5,RUN
571200,0,0,116.3,RUN
581400,0,0,116.2,RUN
591600,0,0,116.1,RUN
601800,0,0,116.0,RUN
612000,0,0,115.8,RUN
622200,0,0,115.7,RUN
632400,0,0,115.5,RUN
642600,0,0,115.3,RUN
652800,0,0,115.1,RUN
663000,0,0,115.0,RUN
673200,0,0,114.8,RUN
683400,0,0,114.6,RUN
693600,0,0,114.5,RUN
703800,0,0,114.3,RUN
714000,0,0,114.3,RUN
724200,0,0,114.3,RUN
734400,0,0,114.2,RUN
744600,0,0,114.1,RUN
754800,0,0,114.0,RUN
765000,0,0,113.8,RUN
775200,0,0,113.6,RUN
785400,0,0,113.4,RUN
795600,0,0,113.3,RUN
805800,0,0,113.0,RUN
816000,0,0,112.9,RUN
826200,0,0,112.8,RUN
836400,0,0,112.7,RUN
846600,0,0,112.4,RUN
856800,0,0,112.3,RUN
867000,0,0,112.2,RUN
877200,0,0,112.1,RUN
887400,0,0,112.0,RUN
897600,0,0,111.8,RUN
907800,0,0,111.7,RUN
918000,0,0,111.5,RUN
928200,0,0,111.2,RUN
938400,0,0,111.1,RUN
948600,0,0,111.0,RUN
958800,0,0,110.8,RUN
969000,0,0,110.7,RUN
979200,0,0,110.4,RUN
989400,0,0,110.3,RUN
999600,0,0,110.1,RUN
1009800,0,0,109.9,RUN
1020000,0,0,109.9,RUN
1030200,0,0,109.8,RUN
1040400,0,0,109.7,RUN
1050600,0,0,109.5,RUN
1060800,0,0,109.4,RUN
1071000,0,0,109.3,RUN
1081200,0,0,109.1,RUN
1091400,0,0,109.0,RUN
1101600,0,0,108.8,RUN
1111800,0,0,108.7,RUN
1122000,0,0,108.5,RUN
1132200,0,0,108.3,RUN
1142400,0,0,108.2,RUN
1152600,0,0,108.1,RUN
1162800,0,0,108.0,RUN
1173000,0,0,107.9,RUN
1183200,0,0,107.8,RUN
1193400,0,0,107.6,RUN
1203600,0,0,107.4,RUN
1213800,0,0,107.3,RUN
1224000,0,0,107.3,RUN
1234200,0,0,107.0,RUN
1244400,0,0,107.0,RUN
1254600,0,0,106.9,RUN
1264800,0,0,106.7,RUN
1275000,0,0,106.6,RUN
1285200,0,0,106.5,RUN
1295400,0,0,106.4,RUN
1305600,0,0,106.2,RUN
1315800,0,0,106.2,RUN
1326000,0,0,105.9,RUN
1336200,0,0,105.8,RUN
1346400,0,0,105.7,RUN
1356600,0,0,105.7,RUN
1366800,0,0,105.4,RUN
1377000,0,0,105.3,RUN
1387200,0,0,105.2,RUN
1397400,0,0,104.9,RUN
1407600,0,0,104.9,RUN
1417800,0,0,104.7,RUN
1428000,0,0,104.6,RUN
1438200,0,0,104.4,RUN
1448400,0,0,104.3,RUN
1458600,0,0,104.1,RUN
1468800,0,0,104.1,RUN
1479000,0,0,104.0,RUN
1489200,0,0,103.9,RUN
1499400,0,0,103.7,RUN
1509600,0,0,103.6,RUN
1519800,0,0,103.4,RUN
1530000,0,0,103.3,RUN
1540200,0,0,103.2,RUN
1550400,0,0,103.2,RUN
1560600,0,0,102.9,RUN
1570800,0,0,102.9,RUN
1581000,0,0,102.8,RUN
1591200,0,0,102.6,RUN
1601400,0,0,102.5,RUN
1611600,0,0,102.3,RUN
1621800,0,0,102.2,RUN
1632000,0,0,102.2,RUN
1642200,0,0,101.9,RUN
1652400,0,0,101.8,RUN
1662600,0,0,101.7,RUN
1672800,0,0,101.6,RUN
1683000,0,0,101.4,RUN
1693200,0,0,101.3,RUN
1703400,0,0,101.1,RUN
1713600,0,0,100.9,RUN
1723800,0,0,100.9,RUN
1734000,0,0,100.8,RUN
1744200,0,0,100.7,RUN
1754400,0,0,100.5,RUN
1764600,0,0,100.4,RUN
1774800,0,0,100.2,RUN
1785000,0,0,100.1,RUN
1795200,0,0,100.0,RUN
1805400,0,0,100.0,RUN
1815600,0,0,99.8,RUN
1825800,0,0,99.7,RUN
1836000,0,0,99.6,RUN
1846200,0,0,99.6,RUN
1856400,0,0,99.5,RUN
1866600,0,0,99.4,RUN
1876800,0,0,99.4,RUN
1887000,0,0,99.4,RUN
1897200,0,0,99.4,RUN
1907400,0,0,99.2,RUN
1917600,0,0,99.0,RUN
1927800,0,0,98.9,RUN
1938000,0,0,98.8,RUN
1948200,0,0,98.6,RUN
1958400,0,0,98.6,RUN
1968600,0,0,98.5,RUN
1978800,0,0,98.3,RUN
1989000,0,0,98.2,RUN
1999200,0,0,98.0,RUN
2009400,0,0,97.9,RUN
2019600,0,0,97.9,RUN
2029800,0,0,97.6,RUN
2040000,0,0,97.5,RUN
2050200,0,0,97.4,RUN
2060400,0,0,97.3,RUN
2070600,0,0,97.2,RUN
2080800,0,0,97.1,RUN
2091000,0,0,97.0,RUN
2101200,0,0,96.8,RUN
2111400,0,0,96.7,RUN
2121600,0,0,96.6,RUN
2131800,0,0,96.4,RUN
2142000,0,0,96.4,RUN
2152200,0,0,96.2,RUN
2162400,0,0,96.1,RUN
2172600,0,0,96.0,RUN
2182800,0,0,96.0,RUN
2193000,0,0,95.9,RUN
2203200,0,0,95.7,RUN
2213400,0,0,95.5,RUN
2223600,0,0,95.4,RUN
2233800,0,0,95.3,RUN
2244000,0,0,95.1,RUN
2254200,0,0,95.1,RUN
2264400,0,0,94.9,RUN
2274600,0,0,94.8,RUN
2284800,0,0,94.6,RUN
2295000,0,0,94.6,RUN
2305200,0,0,94.6,RUN
2315400,0,0,94.5,RUN
2325600,0,0,94.3,RUN
2335800,0,0,94.2,RUN
2346000,0,0,94.1,RUN
2356200,0,0,94.0,RUN
2366400,0,0,93.9,RUN
2376600,0,0,93.8,RUN
2386800,0,0,93.7,RUN
2397000,0,0,93.6,RUN
2407200,0,0,93.5,RUN
2417400,0,0,93.4,RUN
2427600,0,0,93.2,RUN
2437800,0,0,93.1,RUN
2448000,0,0,93.0,RUN
2458200,0,0,92.9,RUN
2468400,0,0,92.9,RUN
2478600,0,0,92.8,RUN
2488800,0,0,92.7,RUN
2499000,0,0,92.6,RUN
2509200,0,0,92.5,RUN
2519400,0,0,92.4,RUN
2529600,0,0,92.2,RUN
2539800,0,0,92.2,RUN
2550000,0,0,92.0,RUN
2560200,0,0,91.9,RUN
2570400,0,0,91.9,RUN
2580600,0,0,91.8,RUN
2590800,0,0,91.6,RUN
2601000,0,0,91.5,RUN
2611200,0,0,91.4,RUN
2621400,0,0,91.2,RUN
2631600,0,0,91.2,RUN
2641800,0,0,91.1,RUN
2652000,0,0,91.1,RUN
2662200,0,0,90.9,RUN
2672400,0,0,90.8,RUN
2682600,0,0,90.6,RUN
2692800,0,0,90.6,RUN
2703000,0,0,90.3,RUN
2713200,0,0,90.2,RUN
2723400,0,0,90.1,RUN
2733600,0,0,90.0,RUN
2743800,0,0,89.9,RUN
2754000,0,0,89.8,RUN
2764200,0,0,89.8,RUN
2774400,0,0,89.7,RUN
2784600,0,0,89.6,RUN
2794800,0,0,89.5,RUN
2805000,0,0,89.4,RUN
2815200,0,0,89.3,RUN
2825400,0,0,89.2,RUN
2835600,0,0,89.0,RUN
2845800,0,0,89.0,RUN
2856000,0,0,88.9,RUN
2866200,0,0,88.8,RUN
2876400,0,0,88.7,RUN
2886600,0,0,88.5,RUN
2896800,0,0,88.5,RUN
2907000,0,0,88.4,RUN
2917200,0,0,88.4,RUN
2927400,0,0,88.3,RUN
2937600,0,0,88.2,RUN
2947800,0,0,88.1,RUN
2958000,0,0,87.9,RUN
2968200,0,0,87.8,RUN
2978400,0,0,87.8,RUN
2988600,0,0,87.8,RUN
2998800,0,0,87.7,RUN
3009000,0,0,87.6,RUN
3019200,0,0,87.4,RUN
3029400,0,0,87.3,RUN
3039600,0,0,87.2,RUN
3049800,0,0,87.1,RUN
3060000,0,0,87.0,RUN
3070200,0,0,86.9,RUN
3080400,0,0,86.8,RUN
3090600,0,0,86.8,RUN
3100800,0,0,86.6,RUN
3111000,0,0,86.4,RUN
3121200,0,0,86.3,RUN
3131400,0,0,86.3,RUN
3141600,0,0,86.2,RUN
3151800,0,0,86.1,RUN
3162000,0,0,86.0,RUN
3172200,0,0,85.8,RUN
3182400,0,0,85.8,RUN
3192600,0,0,85.6,RUN
3202800,0,0,85.6,RUN
3213000,0,0,85.5,RUN
3223200,0,0,85.4,RUN
3233400,0,0,85.3,RUN
3243600,0,0,85.2,RUN
3253800,0,0,85.1,RUN
3264000,0,0,85.0,RUN
3274200,0,0,85.0,RUN
3284400,0,0,84.9,RUN
3294600,0,0,84.8,RUN
3304800,0,0,84.6,RUN
3315000,0,0,84.4,RUN
3325200,0,0,84.4,RUN
3335400,0,0,84.4,RUN
3345600,0,0,84.3,RUN
3355800,0,0,84.1,RUN
3366000,0,0,84.0,RUN
3376200,0,0,83.9,RUN
3386400,0,0,83.8,RUN
3396600,0,0,83.7,RUN
3406800,0,0,83.7,RUN
3417000,0,0,83.5,RUN
3427200,0,0,83.4,RUN
3437400,0,0,83.3,RUN
3447600,0,0,83.2,RUN
3457800,0,0,83.0,RUN
3468000,0,0,82.9,RUN
3478200,0,0,82.9,RUN
3488400,0,0,82.8,RUN
3498600,0,0,82.8,RUN
3508800,0,0,82.7,RUN
3519000,0,0,82.6,RUN
3529200,0,0,82.5,RUN
3539400,0,0,82.5,RUN
3549600,0,0,82.4,RUN
3559800,0,0,82.2,RUN
3570000,0,0,82.1,RUN
3580200,0,0,82.0,RUN
3590400,0,0,82.0,RUN
3600000,0,0,82.0,DONE
